Description;Channel;SecondDescription;"Start time";"AMR";"AMR_perc";"RCH";"RCH_perc";"SHR_perc";GroupID
;"BBC Brit [BBC Entertainment]";"TREFL";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"BBC Brit [BBC Entertainment]";" ";;2 724;;0,532 %;;10 890;;2,127 %;;4,102 %;;5
;"CBS Drama [Club TV]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"CBS Drama [Club TV]";"BILOMAG";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"BBC Earth [BBC Knowledge]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"CBS Action [Zone Romantica]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Canal+ Sport2";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"CBS Europa [Zone Europa]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"AXN White [AXN Crime]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Animal Planet HD";"GRIPEX HOTACTIV";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Boomerang";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Animal Planet HD";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"AXN Spin";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"CI Polsat [Polsat Crime & Investigation Network]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"BBC CBeebies";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"AXN Black [AXN Sci-Fi]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"CBS Action [Zone Romantica]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Canal+ Sport2";"SLASK WROCLAW - LECH POZNAN";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Cartoon Network";" ";;3 916;;0,765 %;;3 916;;0,765 %;;7,988 %;;5
;"Canal+ Sport2";"NICE";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Animal Planet HD";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"CI Polsat [Polsat Crime & Investigation Network]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Animal Planet HD";"GRIPEX HOTACTIV";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"CBS Europa [Zone Europa]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"CBS Drama [Club TV]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Canal+ Seriale [Canal+ Film 2]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"CBS Reality [Zone Reality]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Boomerang";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Canal+ Seriale [Canal+ Film 2]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"BBC Lifestyle";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Cartoon Network";" ";;3 916;;0,765 %;;3 916;;0,765 %;;6,732 %;;5
;"BBC Lifestyle";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Cartoon Network";"MINISTERSTWO SMIECHU";;6 344;;1,239 %;;16 118;;3,148 %;;8,508 %;;5
;"CBS Drama [Club TV]";"BILOMAG";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"BBC Brit [BBC Entertainment]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"13 Ulica [13th Street Universal]";"WWW.OKACZKA.PL";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"BBC CBeebies";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"13 Ulica [13th Street Universal]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Canal+ Discovery";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"AXN White [AXN Crime]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"AXN Black [AXN Sci-Fi]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"AXN";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Boomerang";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"AXN White [AXN Crime]";"HEARTLAND 518 - CANDLES IN THE WIND";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Canal+ Discovery";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"BBC HD";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"BBC HD";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"AXN";"MANTA";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"AXN Black [AXN Sci-Fi]";"LEGEND OF THE SEEKER 104 - BRENNIDON";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"4FUN.TV [4fun.tv]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"BBC Brit [BBC Entertainment]";"TREFL";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"BBC CBeebies";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Animal Planet HD";"GRIPEX HOTACTIV";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Animal Planet HD";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"BBC CBeebies";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"CBS Drama [Club TV]";"BILOMAG";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"AXN Spin";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"CBS Action [Zone Romantica]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"CI Polsat [Polsat Crime & Investigation Network]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"13 Ulica [13th Street Universal]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Boomerang";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"CBS Reality [Zone Reality]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Animal Planet HD";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"CBS Action [Zone Romantica]";"NAVY NCIS";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"13 Ulica [13th Street Universal]";"AMICA";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"BBC Earth [BBC Knowledge]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"13 Ulica [13th Street Universal]";"COLD CASE";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"4FUN.TV [4fun.tv]";"MAYDAY POLSKA";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"4FUN HITS [mjuzik.tv]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"4FUN FIT&DANCE [TV.DISCO]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"CBS Drama [Club TV]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"4FUN.TV [4fun.tv]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Animal Planet HD";"BIG FISH MAN";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"CBS Reality [Zone Reality]";"THE MAN WHOSE ARMS EXPLODED";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Boomerang";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"CI Polsat [Polsat Crime & Investigation Network]";"PRIVATE CRIMES S1 EP.6";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"AXN Spin";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"CBS Drama [Club TV]";"BEVERLY HILLS 90210";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"BBC Earth [BBC Knowledge]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Canal+ 1 [Canal+ Family 2]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"ATM Rozrywka";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"ATM Rozrywka";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"BBC Brit [BBC Entertainment]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Canal+ 1 [Canal+ Family 2]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"CBS Reality [Zone Reality]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"AXN Black [AXN Sci-Fi]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"BBC Lifestyle";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"CBS Action [Zone Romantica]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Canal+ 1 [Canal+ Family 2]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"BBC Earth [BBC Knowledge]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"CBS Europa [Zone Europa]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"AXN White [AXN Crime]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Canal+ 1 [Canal+ Family 2]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"BBC Brit [BBC Entertainment]";"TREFL";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"BBC Brit [BBC Entertainment]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"CBS Reality [Zone Reality]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"CI Polsat [Polsat Crime & Investigation Network]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Animal Planet HD";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"CBS Action [Zone Romantica]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"BBC Earth [BBC Knowledge]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"13 Ulica [13th Street Universal]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"AXN Spin";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"CBS Europa [Zone Europa]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Animal Planet HD";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Canal+ Family [Canal+ Weekend]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Cartoon Network";" ";;3 916;;0,765 %;;3 916;;0,765 %;;6,219 %;;5
;"CBS Drama [Club TV]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Canal+ Family [Canal+ Weekend]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"CI Polsat [Polsat Crime & Investigation Network]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"BBC CBeebies";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"13 Ulica [13th Street Universal]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"CBS Drama [Club TV]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"BBC CBeebies";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Cartoon Network";" ";;3 916;;0,765 %;;3 916;;0,765 %;;6,219 %;;5
;"BBC CBeebies";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"13 Ulica [13th Street Universal]";"AMICA";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"ATM Rozrywka";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"4FUN.TV [4fun.tv]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"AXN";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"AXN";"EGMONT";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"ADVENTURE";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"AXN Black [AXN Sci-Fi]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Boomerang";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Animal Planet HD";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"CBS Action [Zone Romantica]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"AXN White [AXN Crime]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"BBC Brit [BBC Entertainment]";" ";;5 696;;1,112 %;;10 890;;2,127 %;;7,054 %;;5
;"BBC Earth [BBC Knowledge]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Canal+ Sport [Canal+ Niebieski]";"AB FOTO + AZTORIN";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"CI Polsat [Polsat Crime & Investigation Network]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"CBS Reality [Zone Reality]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"4FUN.TV [4fun.tv]";"MAYDAY POLSKA";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"CBS Drama [Club TV]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Boomerang";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Boomerang";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"AXN Spin";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"CBS Action [Zone Romantica]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"BBC Brit [BBC Entertainment]";"TREFL";;10 890;;2,127 %;;10 890;;2,127 %;;12,670 %;;5
;"BBC Brit [BBC Entertainment]";" ";;10 890;;2,127 %;;10 890;;2,127 %;;12,670 %;;5
;"Animal Planet HD";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"BBC Earth [BBC Knowledge]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Boomerang";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"13 Ulica [13th Street Universal]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Canal+ Film [Canal+ Zolty]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"AXN Spin";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"CBS Reality [Zone Reality]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Canal+ Sport [Canal+ Niebieski]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"BBC Lifestyle";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"CI Polsat [Polsat Crime & Investigation Network]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Canal+ Sport [Canal+ Niebieski]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Canal+ Film [Canal+ Zolty]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"CI Polsat [Polsat Crime & Investigation Network]";"PRIVATE CRIMES S2 EP.4";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Canal+ Film [Canal+ Zolty]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"13 Ulica [13th Street Universal]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"13 Ulica [13th Street Universal]";"AMICA";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"ATM Rozrywka";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Canal+ Film [Canal+ Zolty]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"ATM Rozrywka";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Ale Kino+ [Ale Kino]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Ale Kino+ [Ale Kino]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Canal+ Sport [Canal+ Niebieski]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"CBS Europa [Zone Europa]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"BBC CBeebies";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Ale Kino+ [Ale Kino]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"BBC CBeebies";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"CBS Action [Zone Romantica]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Canal+ Sport [Canal+ Niebieski]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Canal+ Sport2";"MODECOM";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"BBC Earth [BBC Knowledge]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"13 Ulica [13th Street Universal]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Canal+ Discovery";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"AXN White [AXN Crime]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"BBC Brit [BBC Entertainment]";"TREFL";;10 890;;2,127 %;;10 890;;2,127 %;;13,005 %;;5
;"AXN Spin";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"BBC Brit [BBC Entertainment]";" ";;10 890;;2,127 %;;10 890;;2,127 %;;13,005 %;;5
;"CBS Drama [Club TV]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"BBC Brit [BBC Entertainment]";" ";;10 890;;2,127 %;;10 890;;2,127 %;;12,984 %;;5
;"Canal+ Film [Canal+ Zolty]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Cartoon Network";" ";;3 916;;0,765 %;;3 916;;0,765 %;;4,677 %;;5
;"Canal+ Film [Canal+ Zolty]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"CBS Action [Zone Romantica]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"CBS Europa [Zone Europa]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Animal Planet HD";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"CI Polsat [Polsat Crime & Investigation Network]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Canal+ Film [Canal+ Zolty]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Ale Kino+ [Ale Kino]";" ";;3 128;;0,611 %;;9 150;;1,787 %;;3,120 %;;5
;"BBC Earth [BBC Knowledge]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Canal+ Discovery";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"13 Ulica [13th Street Universal]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Canal+ Sport2";"NICE";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Cartoon Network";" ";;4 981;;0,973 %;;7 111;;1,389 %;;5,948 %;;5
;"CBS Reality [Zone Reality]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"4FUN HITS [mjuzik.tv]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"AXN";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"13 Ulica [13th Street Universal]";"AMICA";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"BBC HD";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"BBC HD";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Animal Planet HD";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"CI Polsat [Polsat Crime & Investigation Network]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Boomerang";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"ATM Rozrywka";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"CBS Reality [Zone Reality]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"BBC CBeebies";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"AXN Black [AXN Sci-Fi]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"AXN White [AXN Crime]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Canal+ Sport [Canal+ Niebieski]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"BBC Lifestyle";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Canal+ Sport [Canal+ Niebieski]";"AZTORIN + AB FOTO";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"AXN Spin";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Boomerang";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Canal+ Sport [Canal+ Niebieski]";"SOUTHAMPTON FC - AFC BOURNEMOUTH";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Boomerang";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"4FUN.TV [4fun.tv]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"4FUN.TV [4fun.tv]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"AXN Black [AXN Sci-Fi]";"LEGEND OF THE SEEKER 105 - LISTENER";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Canal+";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"AXN White [AXN Crime]";"NUMB3RS 210 - BONES OF CONTENTION";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"4FUN.TV [4fun.tv]";"MAYDAY POLSKA";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"CBS Action [Zone Romantica]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"CBS Reality [Zone Reality]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"BBC CBeebies";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Animal Planet HD";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Boomerang";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"BBC Earth [BBC Knowledge]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Canal+";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Canal+";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"CBS Action [Zone Romantica]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"AXN Spin";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"CI Polsat [Polsat Crime & Investigation Network]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"13 Ulica [13th Street Universal]";"AMICA";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"BBC Earth [BBC Knowledge]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"CBS Reality [Zone Reality]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"13 Ulica [13th Street Universal]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"CBS Drama [Club TV]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Animal Planet HD";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"CBS Action [Zone Romantica]";"NAVY NCIS";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"13 Ulica [13th Street Universal]";"COLD CASE";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Canal+";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Animal Planet HD";"ZOLTAN THE WOLFMAN ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"4FUN HITS [mjuzik.tv]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"AXN Spin";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"CBS Reality [Zone Reality]";"BEVERLY HILLS PAWN";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"CI Polsat [Polsat Crime & Investigation Network]";"Z ARCHIWUM 997 S2 EP.2";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"CBS Drama [Club TV]";"BEVERLY HILLS 90210";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"BBC Brit [BBC Entertainment]";" ";;10 890;;2,127 %;;10 890;;2,127 %;;11,733 %;;5
;"ATM Rozrywka";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"ATM Rozrywka";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Canal+";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"AXN Black [AXN Sci-Fi]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"AXN White [AXN Crime]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"CI Polsat [Polsat Crime & Investigation Network]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"CBS Europa [Zone Europa]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Cartoon Network";" ";;12 201;;2,383 %;;12 201;;2,383 %;;13,909 %;;5
;"CBS Action [Zone Romantica]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"BBC Earth [BBC Knowledge]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Canal+";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"CBS Reality [Zone Reality]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"CBS Europa [Zone Europa]";"KATE & LEOPOLD";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"BBC CBeebies";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"ADVENTURE";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Animal Planet HD";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"AXN";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"CBS Action [Zone Romantica]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Cartoon Network";" ";;3 195;;0,624 %;;3 195;;0,624 %;;3,489 %;;5
;"ADVENTURE";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"CBS Reality [Zone Reality]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"CI Polsat [Polsat Crime & Investigation Network]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Cartoon Network";" ";;7 175;;1,401 %;;16 961;;3,312 %;;8,552 %;;5
;"Animal Planet HD";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"13 Ulica [13th Street Universal]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"BBC CBeebies";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"BBC Brit [BBC Entertainment]";" ";;10 890;;2,127 %;;10 890;;2,127 %;;12,880 %;;5
;"ADVENTURE";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"CBS Drama [Club TV]";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Boomerang";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"Boomerang";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
;"ATM Rozrywka";" ";;0;;0,000 %;;0;;0,000 %;;0,000 %;;5
