Description;Channel;SecondDescription;"Start time";"AMR";"AMR_perc";"RCH";"RCH_perc";"SHR_perc";GroupID
"PROMO";"BBC Earth [BBC Knowledge]";" ";"02:03:20";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"CBS Reality [Zone Reality]";" ";"02:03:21";0;0,000 %;0;0,000 %;0,000 %;1
"TELETUBBIES";"BBC CBeebies";" ";"02:04:27";0;0,000 %;0;0,000 %;0,000 %;1
"RICHARD HAMMOND'S INVISIBLE WORLDS";"BBC Earth [BBC Knowledge]";" ";"02:04:30";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"AXN Spin";" ";"02:06:12";0;0,000 %;0;0,000 %;0,000 %;1
"AUTOPROMOCJA";"Canal+ Family [Canal+ Weekend]";" ";"02:07:05";8 880;0,186 %;8 880;0,186 %;2,421 %;1
"PROMO";"13 Ulica [13th Street Universal]";" ";"02:09:07";0;0,000 %;0;0,000 %;0,000 %;1
"CZARODZIEJ Z HARLEMU /FILM POL./";"Canal+ Family [Canal+ Weekend]";" ";"02:10:02";8 880;0,186 %;8 880;0,186 %;3,986 %;1
"INSIDE MOVIES /MAG.FILM.USA/";"13 Ulica [13th Street Universal]";"INSIDE MOVIES";"02:10:13";0;0,000 %;0;0,000 %;0,000 %;1
"TAKA ROZRYWKA";"ATM Rozrywka";" ";"02:10:53";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"Animal Planet HD";" ";"02:10:54";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"Boomerang";" ";"02:12:08";0;0,000 %;0;0,000 %;0,000 %;1
"OPETAL MNIE DEMON /SER.DOK.USA/";"CI Polsat [Polsat Crime & Investigation Network]";"I WAS POSSESSED S1 EP.4";"02:12:39";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"CBS Drama [Club TV]";" ";"02:12:50";0;0,000 %;0;0,000 %;0,000 %;1
"GARFIELD SHOW /SER.ANIM.FRA.USA/";"Boomerang";" ";"02:12:57";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"CBS Action [Zone Romantica]";" ";"02:12:57";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"13 Ulica [13th Street Universal]";" ";"02:14:14";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"BBC Brit [BBC Entertainment]";" ";"02:14:28";0;0,000 %;0;0,000 %;0,000 %;1
"AUCTIONEERS AND DEALERS";"BBC Brit [BBC Entertainment]";" ";"02:14:38";0;0,000 %;0;0,000 %;0,000 %;1
"CSI NY - KRYMINALNE ZAGADKI NOWEGO JORKU /SER. SENS. USA/";"13 Ulica [13th Street Universal]";"CSI: NY";"02:15:23";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"Cartoon Network";" ";"02:16:11";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"BBC Lifestyle";" ";"02:17:04";0;0,000 %;0;0,000 %;0,000 %;1
"KRONIKI XIAOLIN /SER.ANIM.USA KAN./";"Cartoon Network";" ";"02:17:42";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"AXN Spin";" ";"02:18:27";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"AXN";" ";"02:19:22";14 627;0,307 %;14 627;0,307 %;5,261 %;1
"PROMO";"CBS Reality [Zone Reality]";" ";"02:19:50";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"AXN Black [AXN Sci-Fi]";" ";"02:20:20";0;0,000 %;0;0,000 %;0,000 %;1
"KOMISARZ REX /SER AUSTR./";"AXN Spin";" ";"02:20:32";0;0,000 %;0;0,000 %;0,000 %;1
"LOWCY GLOW /SER.DOK./";"AXN Black [AXN Sci-Fi]";"DOG & BETH: ON THE HUNT 108 - VIVA DOG VEGAS";"02:20:35";0;0,000 %;0;0,000 %;0,000 %;1
"AGENCI NCIS /SER.SENS.USA/";"AXN";"NCIS 606 - MURDER 2.0";"02:20:37";22 367;0,469 %;26 036;0,546 %;9,682 %;1
"BEZ KOMENTARZA /REP./";"ADVENTURE";" ";"02:22:09";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"CBS Action [Zone Romantica]";" ";"02:22:27";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"CI Polsat [Polsat Crime & Investigation Network]";" ";"02:22:56";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"Animal Planet HD";" ";"02:24:28";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"CBS Europa [Zone Europa]";" ";"02:24:50";0;0,000 %;0;0,000 %;0,000 %;1
"ODWIECZNY WROG /FILM HORR.USA/";"CBS Europa [Zone Europa]";"PHANTOMS";"02:25:35";0;0,000 %;0;0,000 %;0,000 %;1
"AUTOPROMOCJA";"Canal+ Discovery";" ";"02:25:53";3 789;0,079 %;4 019;0,084 %;1,414 %;1
"PROMO";"CBS Drama [Club TV]";" ";"02:26:14";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"BBC Earth [BBC Knowledge]";" ";"02:28:33";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"BBC CBeebies";" ";"02:28:52";0;0,000 %;0;0,000 %;0,000 %;1
"CZTERY ZYWIOLY /FILM DOK.NIEM./";"ADVENTURE";" ";"02:29:04";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"CBS Reality [Zone Reality]";" ";"02:29:48";0;0,000 %;0;0,000 %;0,000 %;1
"BABY JAKE";"BBC CBeebies";" ";"02:30:02";0;0,000 %;0;0,000 %;0,000 %;1
"PRAWO OJCA /FILM DRAM.SENS.POL./";"Canal+ Discovery";" ";"02:30:15";1 565;0,033 %;4 019;0,084 %;0,933 %;1
"AUTOPROMOCJA";"Canal+";" ";"02:33:01";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"CI Polsat [Polsat Crime & Investigation Network]";" ";"02:33:28";0;0,000 %;0;0,000 %;0,000 %;1
"ZAGLODZENI /FILM HORR.USA/";"Canal+";" ";"02:35:13";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"Boomerang";" ";"02:36:31";0;0,000 %;0;0,000 %;0,000 %;1
"GARFIELD SHOW /SER.ANIM.FRA.USA/";"Boomerang";" ";"02:37:30";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"CBS Drama [Club TV]";" ";"02:37:30";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"CBS Action [Zone Romantica]";" ";"02:37:33";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"CBS Reality [Zone Reality]";" ";"02:38:37";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"13 Ulica [13th Street Universal]";" ";"02:39:27";0;0,000 %;0;0,000 %;0,000 %;1
"PRZEZYLEM /SER.DOK.USA/";"CBS Reality [Zone Reality]";"I SURVIVED";"02:40:22";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"Animal Planet HD";" ";"02:40:33";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"BBC CBeebies";" ";"02:41:02";0;0,000 %;0;0,000 %;0,000 %;1
"AUTOPROMOCJA";"Canal+ Film [Canal+ Zolty]";" ";"02:41:49";0;0,000 %;0;0,000 %;0,000 %;1
"WIBBLY PIG";"BBC CBeebies";" ";"02:42:48";0;0,000 %;0;0,000 %;0,000 %;1
"TAKA ROZRYWKA";"ATM Rozrywka";" ";"02:43:28";0;0,000 %;0;0,000 %;0,000 %;1
"MEDIUM /FILM POL./";"Canal+ Film [Canal+ Zolty]";" ";"02:45:01";1 197;0,025 %;7 148;0,150 %;0,793 %;1
"PROMO";"CI Polsat [Polsat Crime & Investigation Network]";" ";"02:46:13";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"Animal Planet HD";" ";"02:47:18";0;0,000 %;0;0,000 %;0,000 %;1
"NA HACZYKU /SER.DOK.USA/";"Animal Planet HD";"OFF THE HOOK";"02:48:25";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"CBS Action [Zone Romantica]";" ";"02:48:50";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"BBC HD";" ";"02:49:26";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"CI Polsat [Polsat Crime & Investigation Network]";" ";"02:49:34";0;0,000 %;0;0,000 %;0,000 %;1
"ROWING THE ARCTIC ";"BBC HD";" ";"02:49:36";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"CBS Reality [Zone Reality]";" ";"02:51:14";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"CBS Drama [Club TV]";" ";"02:51:20";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"BBC Brit [BBC Entertainment]";" ";"02:51:33";0;0,000 %;0;0,000 %;0,000 %;1
"HOMO NARRANS /ZAPOWIEDZI/";"Ale Kino+ [Ale Kino]";" ";"02:51:35";0;0,000 %;0;0,000 %;0,000 %;1
"PROMO";"BBC Lifestyle";" ";"02:52:11";5 701;0,120 %;5 701;0,120 %;2,944 %;1
"MEZCZYZNA IDEALNY /ZAPOWIEDZI/";"Ale Kino+ [Ale Kino]";" ";"02:52:19";0;0,000 %;0;0,000 %;0,000 %;1
"DIY SOS";"BBC Lifestyle";" ";"02:52:36";3 012;0,063 %;5 701;0,120 %;1,855 %;1
"PROMO";"BBC CBeebies";" ";"02:52:48";0;0,000 %;0;0,000 %;0,000 %;1
"SAFE HOUSE /ZAPOWIEDZI/";"Ale Kino+ [Ale Kino]";" ";"02:52:59";0;0,000 %;0;0,000 %;0,000 %;1
"KONKURS";"Ale Kino+ [Ale Kino]";" ";"02:53:38";0;0,000 %;0;0,000 %;0,000 %;1
"UWIEDZENIE JOE TYNANA /ZAPOWIEDZI/";"Ale Kino+ [Ale Kino]";" ";"02:53:48";0;0,000 %;0;0,000 %;0,000 %;1
"OMAR /ZAPOWIEDZI/";"Ale Kino+ [Ale Kino]";" ";"02:54:27";0;0,000 %;0;0,000 %;0,000 %;1
"SARAH & DUCK";"BBC CBeebies";" ";"02:54:46";0;0,000 %;0;0,000 %;0,000 %;1
