Description;Channel;SecondDescription;"Start time";"AMR";"AMR_perc";"RCH";"RCH_perc";"SHR_perc"
"PROMO";"CBS Drama [Club TV]";" ";"02:00:00";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"CI Polsat [Polsat Crime & Investigation Network]";" ";"02:00:00";0;0,000 %;0;0,000 %;0,000 %
"SKANDAL /SER.OBYCZ.USA/";"AXN Spin";" ";"02:00:00";0;0,000 %;0;0,000 %;0,000 %
"SOWA I SPOLKA /SER.ANIM.USA/";"Boomerang";" ";"02:00:00";0;0,000 %;0;0,000 %;0,000 %
"STRACH /FILM THRILL.USA/";"CBS Europa [Zone Europa]";"FEAR.";"02:00:00";5 599;0,016 %;6 853;0,019 %;0,284 %
"TAKA ROZRYWKA";"ATM Rozrywka";" ";"02:00:00";38 734;0,108 %;38 734;0,108 %;1,734 %
"UNDERCOVER BOSS";"BBC Brit [BBC Entertainment]";" ";"02:00:00";1 347;0,004 %;3 005;0,008 %;0,065 %
"W CIENIU /FILM DRAM.KRYM.SLO.CZE.POL/";"Ale Kino+ [Ale Kino]";" ";"02:00:00";3 507;0,010 %;6 031;0,017 %;0,202 %
"GRA W CIEMNO /TELETURNIEJ/";"ATM Rozrywka";" ";"02:00:07";29 968;0,084 %;55 670;0,156 %;1,820 %
"NAJLEPSZA MUZYKA NOCA /TELEDYSKI/";"4FUN FIT&DANCE [TV.DISCO]";" ";"02:00:08";220;0,001 %;4 796;0,013 %;0,020 %
"NAJLEPSZA MUZYKA NOCA /TELEDYSKI/";"4FUN HITS [mjuzik.tv]";" ";"02:00:08";1 836;0,005 %;9 378;0,026 %;0,169 %
"NAJLEPSZA MUZYKA NOCA /TELEDYSKI/";"4FUN.TV [4fun.tv]";" ";"02:00:08";293;0,001 %;4 796;0,013 %;0,025 %
"SZKOLA PRZETRWANIA /SER DOK.W.BRYT/";"Animal Planet HD";"ULTIMATE SURVIVAL";"02:00:55";22;0,000 %;3 179;0,009 %;0,001 %
"BEZ PARDONU /SER.KRYM.USA/";"CBS Action [Zone Romantica]";"THE DISTRICT";"02:01:15";4 305;0,012 %;4 305;0,012 %;0,245 %
"SUNSET BEACH /SER.USA/";"CBS Drama [Club TV]";"SUNSET BEACH";"02:01:25";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"BBC CBeebies";" ";"02:02:38";0;0,000 %;0;0,000 %;0,000 %
"DIY SOS";"BBC Lifestyle";" ";"02:03:06";2 023;0,006 %;5 701;0,016 %;0,119 %
"PROMO";"BBC Earth [BBC Knowledge]";" ";"02:03:20";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"CBS Reality [Zone Reality]";" ";"02:03:21";0;0,000 %;0;0,000 %;0,000 %
"TELETUBBIES";"BBC CBeebies";" ";"02:04:27";0;0,000 %;0;0,000 %;0,000 %
"RICHARD HAMMOND'S INVISIBLE WORLDS";"BBC Earth [BBC Knowledge]";" ";"02:04:30";276;0,001 %;13 951;0,039 %;0,017 %
"PROMO";"AXN Spin";" ";"02:06:12";0;0,000 %;0;0,000 %;0,000 %
"AUTOPROMOCJA";"Canal+ Family [Canal+ Weekend]";" ";"02:07:05";8 880;0,025 %;8 880;0,025 %;0,426 %
"PROMO";"13 Ulica [13th Street Universal]";" ";"02:09:07";37 101;0,104 %;37 101;0,104 %;1,822 %
"CZARODZIEJ Z HARLEMU /FILM POL./";"Canal+ Family [Canal+ Weekend]";" ";"02:10:02";8 880;0,025 %;8 880;0,025 %;0,613 %
"INSIDE MOVIES /MAG.FILM.USA/";"13 Ulica [13th Street Universal]";"INSIDE MOVIES";"02:10:13";32 247;0,090 %;37 101;0,104 %;1,637 %
"TAKA ROZRYWKA";"ATM Rozrywka";" ";"02:10:53";36 701;0,103 %;36 701;0,103 %;1,877 %
"PROMO";"Animal Planet HD";" ";"02:10:54";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"Boomerang";" ";"02:12:08";0;0,000 %;0;0,000 %;0,000 %
"OPETAL MNIE DEMON /SER.DOK.USA/";"CI Polsat [Polsat Crime & Investigation Network]";"I WAS POSSESSED S1 EP.4";"02:12:39";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"CBS Drama [Club TV]";" ";"02:12:50";0;0,000 %;0;0,000 %;0,000 %
"GARFIELD SHOW /SER.ANIM.FRA.USA/";"Boomerang";" ";"02:12:57";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"CBS Action [Zone Romantica]";" ";"02:12:57";4 305;0,012 %;4 305;0,012 %;0,219 %
"PROMO";"13 Ulica [13th Street Universal]";" ";"02:14:14";31 071;0,087 %;31 071;0,087 %;1,613 %
"PROMO";"BBC Brit [BBC Entertainment]";" ";"02:14:28";0;0,000 %;0;0,000 %;0,000 %
"AUCTIONEERS AND DEALERS";"BBC Brit [BBC Entertainment]";" ";"02:14:38";0;0,000 %;0;0,000 %;0,000 %
"CSI NY - KRYMINALNE ZAGADKI NOWEGO JORKU /SER. SENS. USA/";"13 Ulica [13th Street Universal]";"CSI: NY";"02:15:23";23 196;0,065 %;31 071;0,087 %;1,501 %
"PROMO";"Cartoon Network";" ";"02:16:11";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"BBC Lifestyle";" ";"02:17:04";0;0,000 %;0;0,000 %;0,000 %
"KRONIKI XIAOLIN /SER.ANIM.USA KAN./";"Cartoon Network";" ";"02:17:42";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"AXN Spin";" ";"02:18:27";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"AXN";" ";"02:19:22";34 561;0,097 %;34 561;0,097 %;1,937 %
"PROMO";"CBS Reality [Zone Reality]";" ";"02:19:50";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"AXN Black [AXN Sci-Fi]";" ";"02:20:20";0;0,000 %;0;0,000 %;0,000 %
"KOMISARZ REX /SER AUSTR./";"AXN Spin";" ";"02:20:32";0;0,000 %;0;0,000 %;0,000 %
"LOWCY GLOW /SER.DOK./";"AXN Black [AXN Sci-Fi]";"DOG & BETH: ON THE HUNT 108 - VIVA DOG VEGAS";"02:20:35";0;0,000 %;0;0,000 %;0,000 %
"AGENCI NCIS /SER.SENS.USA/";"AXN";"NCIS 606 - MURDER 2.0";"02:20:37";42 301;0,118 %;45 970;0,129 %;2,866 %
"BEZ KOMENTARZA /REP./";"ADVENTURE";" ";"02:22:09";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"CBS Action [Zone Romantica]";" ";"02:22:27";4 305;0,012 %;4 305;0,012 %;0,250 %
"PROMO";"CI Polsat [Polsat Crime & Investigation Network]";" ";"02:22:56";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"Animal Planet HD";" ";"02:24:28";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"CBS Europa [Zone Europa]";" ";"02:24:50";640;0,002 %;2 878;0,008 %;0,038 %
"ODWIECZNY WROG /FILM HORR.USA/";"CBS Europa [Zone Europa]";"PHANTOMS";"02:25:35";76;0,000 %;3 529;0,010 %;0,006 %
"AUTOPROMOCJA";"Canal+ Discovery";" ";"02:25:53";3 789;0,011 %;4 019;0,011 %;0,223 %
"PROMO";"CBS Drama [Club TV]";" ";"02:26:14";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"BBC Earth [BBC Knowledge]";" ";"02:28:33";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"BBC CBeebies";" ";"02:28:52";0;0,000 %;0;0,000 %;0,000 %
"CZTERY ZYWIOLY /FILM DOK.NIEM./";"ADVENTURE";" ";"02:29:04";64;0,000 %;3 179;0,009 %;0,005 %
"PROMO";"CBS Reality [Zone Reality]";" ";"02:29:48";0;0,000 %;0;0,000 %;0,000 %
"BABY JAKE";"BBC CBeebies";" ";"02:30:02";0;0,000 %;0;0,000 %;0,000 %
"PRAWO OJCA /FILM DRAM.SENS.POL./";"Canal+ Discovery";" ";"02:30:15";1 565;0,004 %;4 019;0,011 %;0,133 %
"AUTOPROMOCJA";"Canal+";" ";"02:33:01";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"CI Polsat [Polsat Crime & Investigation Network]";" ";"02:33:28";2 701;0,008 %;8 374;0,023 %;0,177 %
"ZAGLODZENI /FILM HORR.USA/";"Canal+";" ";"02:35:13";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"Boomerang";" ";"02:36:31";0;0,000 %;0;0,000 %;0,000 %
"GARFIELD SHOW /SER.ANIM.FRA.USA/";"Boomerang";" ";"02:37:30";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"CBS Drama [Club TV]";" ";"02:37:30";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"CBS Action [Zone Romantica]";" ";"02:37:33";4 305;0,012 %;4 305;0,012 %;0,285 %
"PROMO";"CBS Reality [Zone Reality]";" ";"02:38:37";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"13 Ulica [13th Street Universal]";" ";"02:39:27";17 023;0,048 %;31 071;0,087 %;1,150 %
"PRZEZYLEM /SER.DOK.USA/";"CBS Reality [Zone Reality]";"I SURVIVED";"02:40:22";1 255;0,004 %;12 472;0,035 %;0,100 %
"PROMO";"Animal Planet HD";" ";"02:40:33";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"BBC CBeebies";" ";"02:41:02";0;0,000 %;0;0,000 %;0,000 %
"AUTOPROMOCJA";"Canal+ Film [Canal+ Zolty]";" ";"02:41:49";0;0,000 %;0;0,000 %;0,000 %
"WIBBLY PIG";"BBC CBeebies";" ";"02:42:48";0;0,000 %;0;0,000 %;0,000 %
"TAKA ROZRYWKA";"ATM Rozrywka";" ";"02:43:28";26 715;0,075 %;26 715;0,075 %;1,845 %
"MEDIUM /FILM POL./";"Canal+ Film [Canal+ Zolty]";" ";"02:45:01";1 197;0,003 %;7 148;0,020 %;0,110 %
"PROMO";"CI Polsat [Polsat Crime & Investigation Network]";" ";"02:46:13";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"Animal Planet HD";" ";"02:47:18";1 993;0,006 %;3 179;0,009 %;0,146 %
"NA HACZYKU /SER.DOK.USA/";"Animal Planet HD";"OFF THE HOOK";"02:48:25";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"CBS Action [Zone Romantica]";" ";"02:48:50";4 305;0,012 %;4 305;0,012 %;0,333 %
"PROMO";"BBC HD";" ";"02:49:26";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"CI Polsat [Polsat Crime & Investigation Network]";" ";"02:49:34";0;0,000 %;0;0,000 %;0,000 %
"ROWING THE ARCTIC ";"BBC HD";" ";"02:49:36";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"CBS Reality [Zone Reality]";" ";"02:51:14";0;0,000 %;0;0,000 %;0,000 %
"PROMO";"CBS Drama [Club TV]";" ";"02:51:20";0;0,000 %;0;0,000 %;0,000 %
